movieId,title,genres
1,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
2,Mr. Wrong (1996),Comedy
3,Unforgettable (1996),Mystery|Sci-Fi|Thriller
4,Happy Gilmore (1996),Comedy
5,"Bridges of Madison County, The (1995)",Drama|Romance
6,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
7,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
8,Catwalk (1996),Documentary
10,Braveheart (1995),Action|Drama|War
11,Taxi Driver (1976),Crime|Drama|Thriller
12,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
13,Before and After (1996),Drama|Mystery
16,Anne Frank Remembered (1995),Documentary
17,"Young Poisoner's Handbook, The (1995)",Crime|Drama
18,If Lucy Fell (1996),Comedy|Romance
19,"Steal Big, Steal Little (1995)",Comedy
21,"Boys of St. Vincent, The (1992)",Drama
22,Boomerang (1992),Comedy|Romance
23,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
25,Flirting With Disaster (1996),Comedy
26,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
28,Jupiter's Wife (1994),Documentary
29,Pie in the Sky (1996),Comedy|Romance
32,Jade (1995),Thriller
35,Down Periscope (1996),Comedy
37,Man of the Year (1995),Documentary
40,Up Close and Personal (1996),Drama|Romance
41,"Birdcage, The (1996)",Comedy
44,"Brothers McMullen, The (1995)",Comedy
45,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
46,"Amazing Panda Adventure, The (1995)",Adventure|Children
47,"Basketball Diaries, The (1995)",Drama
48,"Awfully Big Adventure, An (1995)",Drama
49,Amateur (1994),Crime|Drama|Thriller
50,Apollo 13 (1995),Adventure|Drama|IMAX
51,Rob Roy (1995),Action|Drama|Romance|War
52,"Addiction, The (1995)",Drama|Horror
53,Batman Forever (1995),Action|Adventure|Comedy|Crime
54,Beauty of the Day (Belle de jour) (1967),Drama
55,Beyond Rangoon (1995),Adventure|Drama|War
56,Blue in the Face (1995),Comedy|Drama
57,Canadian Bacon (1995),Comedy|War
58,Casper (1995),Adventure|Children
59,Clockers (1995),Crime|Drama|Mystery
60,Congo (1995),Action|Adventure|Mystery|Sci-Fi
61,Crimson Tide (1995),Drama|Thriller|War
62,Crumb (1994),Documentary
63,Desperado (1995),Action|Romance|Western
64,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
65,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
66,"Doom Generation, The (1995)",Comedy|Crime|Drama
68,First Knight (1995),Action|Drama|Romance
69,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
70,Hackers (1995),Action|Adventure|Crime|Thriller
71,Jeffrey (1995),Comedy|Drama
72,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
73,Judge Dredd (1995),Action|Crime|Sci-Fi
74,Jury Duty (1995),Comedy
75,Kids (1995),Drama
76,Living in Oblivion (1995),Comedy
77,Lord of Illusions (1995),Horror
78,Love & Human Remains (1993),Comedy|Drama
79,Mad Love (1995),Drama|Romance
80,Mallrats (1995),Comedy|Romance
81,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
83,Mute Witness (1994),Comedy|Horror|Thriller
84,Nadja (1994),Drama
85,"Net, The (1995)",Action|Crime|Thriller
86,Nine Months (1995),Comedy|Romance
87,Party Girl (1995),Comedy
88,"Prophecy, The (1995)",Fantasy|Horror|Mystery
89,Reckless (1995),Comedy|Fantasy
90,Safe (1995),Thriller
91,"Scarlet Letter, The (1995)",Drama|Romance
93,Showgirls (1995),Drama
94,Smoke (1995),Comedy|Drama
95,Something to Talk About (1995),Comedy|Drama|Romance
96,Species (1995),Horror|Sci-Fi
98,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
99,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
